,run,epoch,loss,accuracy,epoch duration,run duration,lr,batch_size,shuffle
0,1,1,0.562241941690445,0.78755,13.663548946380615,13.964484930038452,0.01,100,True
1,1,1,0.562241941690445,0.78755,13.663548946380615,13.964484930038452,0.01,100,True
2,1,1,0.562241941690445,0.78755,13.663548946380615,13.964484930038452,0.01,100,True
3,1,2,0.37914244023462135,0.8608666666666667,13.307149171829224,27.370858907699585,0.01,100,True
4,1,2,0.37914244023462135,0.8608666666666667,13.307149171829224,27.370858907699585,0.01,100,True
5,1,2,0.37914244023462135,0.8608666666666667,13.307149171829224,27.370858907699585,0.01,100,True
6,1,3,0.3506850001464287,0.8688666666666667,13.21700119972229,40.6662437915802,0.01,100,True
7,1,3,0.3506850001464287,0.8688666666666667,13.21700119972229,40.6662437915802,0.01,100,True
8,1,3,0.3506850001464287,0.8688666666666667,13.21700119972229,40.6662437915802,0.01,100,True
9,2,1,0.5614693248520295,0.7865833333333333,13.948076725006104,14.07164192199707,0.01,100,False
10,2,1,0.5614693248520295,0.7865833333333333,13.948076725006104,14.07164192199707,0.01,100,False
11,2,1,0.5614693248520295,0.7865833333333333,13.948076725006104,14.07164192199707,0.01,100,False
12,2,2,0.3870770429074764,0.8586666666666667,13.607300043106079,27.768599033355713,0.01,100,False
13,2,2,0.3870770429074764,0.8586666666666667,13.607300043106079,27.768599033355713,0.01,100,False
14,2,2,0.3870770429074764,0.8586666666666667,13.607300043106079,27.768599033355713,0.01,100,False
15,2,3,0.353224589402477,0.8711,13.442106008529663,41.28427600860596,0.01,100,False
16,2,3,0.353224589402477,0.8711,13.442106008529663,41.28427600860596,0.01,100,False
17,2,3,0.353224589402477,0.8711,13.442106008529663,41.28427600860596,0.01,100,False
18,3,1,0.9913055787483851,0.624,13.933818101882935,14.659962177276611,0.01,1000,True
19,3,1,0.9913055787483851,0.624,13.933818101882935,14.659962177276611,0.01,1000,True
20,3,1,0.9913055787483851,0.624,13.933818101882935,14.659962177276611,0.01,1000,True
21,3,2,0.5261511579155922,0.8000333333333334,13.826081991195679,28.567270040512085,0.01,1000,True
22,3,2,0.5261511579155922,0.8000333333333334,13.826081991195679,28.567270040512085,0.01,1000,True
23,3,2,0.5261511579155922,0.8000333333333334,13.826081991195679,28.567270040512085,0.01,1000,True
24,3,3,0.4299396882454554,0.8424333333333334,13.812133073806763,42.46509504318237,0.01,1000,True
25,3,3,0.4299396882454554,0.8424333333333334,13.812133073806763,42.46509504318237,0.01,1000,True
26,3,3,0.4299396882454554,0.8424333333333334,13.812133073806763,42.46509504318237,0.01,1000,True
27,4,1,1.0304838766654332,0.6035333333333334,14.15245509147644,14.869817972183228,0.01,1000,False
28,4,1,1.0304838766654332,0.6035333333333334,14.15245509147644,14.869817972183228,0.01,1000,False
29,4,1,1.0304838766654332,0.6035333333333334,14.15245509147644,14.869817972183228,0.01,1000,False
30,4,2,0.562736610074838,0.7871,13.526052951812744,28.4768168926239,0.01,1000,False
31,4,2,0.562736610074838,0.7871,13.526052951812744,28.4768168926239,0.01,1000,False
32,4,2,0.562736610074838,0.7871,13.526052951812744,28.4768168926239,0.01,1000,False
33,4,3,0.4660596430301666,0.8305,13.621169805526733,42.18597888946533,0.01,1000,False
34,4,3,0.4660596430301666,0.8305,13.621169805526733,42.18597888946533,0.01,1000,False
35,4,3,0.4660596430301666,0.8305,13.621169805526733,42.18597888946533,0.01,1000,False
36,5,1,0.7570913798113664,0.7098833333333333,13.384306907653809,13.518849849700928,0.001,100,True
37,5,1,0.7570913798113664,0.7098833333333333,13.384306907653809,13.518849849700928,0.001,100,True
38,5,1,0.7570913798113664,0.7098833333333333,13.384306907653809,13.518849849700928,0.001,100,True
39,5,2,0.49866440892219543,0.8150666666666667,13.405592918395996,26.99783492088318,0.001,100,True
40,5,2,0.49866440892219543,0.8150666666666667,13.405592918395996,26.99783492088318,0.001,100,True
41,5,2,0.49866440892219543,0.8150666666666667,13.405592918395996,26.99783492088318,0.001,100,True
42,5,3,0.4324926948050658,0.8448,13.432898998260498,40.51317119598389,0.001,100,True
43,5,3,0.4324926948050658,0.8448,13.432898998260498,40.51317119598389,0.001,100,True
44,5,3,0.4324926948050658,0.8448,13.432898998260498,40.51317119598389,0.001,100,True
45,6,1,0.7908545329670111,0.698,12.593388080596924,12.716345071792603,0.001,100,False
46,6,1,0.7908545329670111,0.698,12.593388080596924,12.716345071792603,0.001,100,False
47,6,1,0.7908545329670111,0.698,12.593388080596924,12.716345071792603,0.001,100,False
48,6,2,0.5205176492035389,0.8057333333333333,12.659178018569946,25.460885047912598,0.001,100,False
49,6,2,0.5205176492035389,0.8057333333333333,12.659178018569946,25.460885047912598,0.001,100,False
50,6,2,0.5205176492035389,0.8057333333333333,12.659178018569946,25.460885047912598,0.001,100,False
51,6,3,0.44156893794735275,0.8385,12.666160106658936,38.208431005477905,0.001,100,False
52,6,3,0.44156893794735275,0.8385,12.666160106658936,38.208431005477905,0.001,100,False
53,6,3,0.44156893794735275,0.8385,12.666160106658936,38.208431005477905,0.001,100,False
54,7,1,1.6179947127898535,0.4635166666666667,13.900833129882812,14.631600141525269,0.001,1000,True
55,7,1,1.6179947127898535,0.4635166666666667,13.900833129882812,14.631600141525269,0.001,1000,True
56,7,1,1.6179947127898535,0.4635166666666667,13.900833129882812,14.631600141525269,0.001,1000,True
57,7,2,0.7605895469586055,0.7143166666666667,13.85001516342163,28.573084115982056,0.001,1000,True
58,7,2,0.7605895469586055,0.7143166666666667,13.85001516342163,28.573084115982056,0.001,1000,True
